1929 or 1989?	1929年还是1989年?
The US economy began to emerge from its recession in the second half of 2009, thanks largely to aggressive monetary policy and steps to stabilize the financial system.	美国经济从2009年下半年开始走出衰退，这主要是为稳定金融体系而采取的激进货币政策和措施的功劳。
Eurozone policymakers, by contrast, rejected monetary stimulus and implemented fiscal austerity measures, while ignoring the deepening distress of their banks.	相反，欧洲决策者拒绝采取货币刺激而实施了财政紧缩，无视其银行压力的加剧。
The eurozone thus pushed the world into a second global recession.	于是，欧元区将世界拖入了第二场全球衰退。
Just when that recession seemed to have run its course, emerging economies began to unravel.	而正当这场衰退眼看就要痊愈时，新兴经济体开始崩溃。
For years, observers had been touting the governance and growth-enhancing reforms that these countries’ leaders had supposedly introduced.	多年来，观察家们一直在鼓吹这些国家领导人如何如何实施治理和刺激增长的改革。
In October 2012, the IMF celebrated emerging economies’ “resilience.”	2012年10月，IMF大大赞扬了新兴经济体的“恢复力”。
As if on cue, that facade began to crumble, revealing an inconvenient truth: factors like high commodity prices and massive capital inflows had been concealing serious economic weaknesses, while legitimizing a culture of garish inequality and rampant corruption.	恰逢此时，门面撑不住了，暴露出一个令人不快的事实：大宗商品价格高企和大规模资本流入等因素掩盖了严重的经济弱点，也让剧烈的不平等性和无孔不入的腐败成为合法的文化。
These problems are now being compounded by the growth slowdown in China, the fulcrum of global trade.	如今，这些问题因为全球贸易的支柱——中国增长放缓而雪上加霜。 而最坏的时刻还没有到来。
And the worst is yet to come.	中国巨大的工业过剩产能和房地产过剩还没有消化；
China’s huge industrial overcapacity and property glut needs to be wound down; the hubris driving its global acquisitions must be reined in; and its corruption networks have to be dismantled.	推动其全球兼并的傲慢必须得到遏制； 其腐败网络也必须打破。
In short, the factors that dragged down the global economy in 2015 will persist – and in some cases even intensify – in the new year.	简言之，2015年拖累全球经济的因素在新的一年里还会持续——有的甚至还会加剧。
Emerging economies will remain weak.	新兴经济体将继续疲软。
The eurozone, having enjoyed a temporary reprieve from austerity, will be constrained by listless global trade.	暂时摆脱了紧缩的欧元区将受到全球贸易萎靡的束缚。
Rising interest rates on corporate bonds portend slower growth in the US.	公司债券利率的提高预示美国增长减速。
China’s collapsing asset values could trigger financial turbulence.	中国资产价值崩盘可能引发金融动荡。
And policymakers are adrift, with little political leverage to stem these trends.	而决策者就像是无根之木，没有政治手段来遏制这些趋势。
The IMF should stop forecasting renewed growth and issue a warning that the global economy will remain weak and vulnerable unless world leaders act energetically to spur innovation and growth.	IMF应该停止更新增长预测，而是发布警告：全球经济将继续保持萎靡和脆弱，除非世界领导人着力刺激创新和增长。
Such an effort is long overdue.	这样的措施早就应该实行了。
Trumpian Uncertainty	特朗普的不确定性
NEW YORK – Every January, I try to craft a forecast for the coming year.	发自纽约——每年一月，我都会尝试对未来一年作出预测。
Economic forecasting is notoriously difficult; but, notwithstanding the truth expressed in Harry Truman’s request for a one-armed economist (who wouldn’t be able to say “on the other hand”), my record has been credible.	经济预测是件极为困难的事情； 以至于哈里·杜鲁门总统（Harry Truman）曾要求手下给他找一位独臂经济学家——这样此人就无法模棱两可地说“另一方面（on the other hand）”了——但一直以来我的预测还是靠谱的。
In recent years, I correctly foresaw that, in the absence of stronger fiscal stimulus (which was not forthcoming in either Europe or the United States), recovery from the Great Recession of 2008 would be slow.	这几年来我正确地预见到，在缺乏更强有力财政刺激政策（在欧洲或美国都一样）的情况下，2008年大衰退的复苏进程将较为缓慢。
In making these forecasts, I have relied more on analysis of underlying economic forces than on complex econometric models.	同时我的预测更多地依赖于对基本经济力量的分析，而非复杂的经济计量模型。
For example, at the beginning of 2016, it seemed clear that the deficiencies of global aggregate demand that have been manifest for the last several years were unlikely to change dramatically.	例如在2016年初，很显然在过去几年中呈现的全球总需求不足将不大可能出现巨大改变。
